DeLa,Id,PinaLa,Tip,Zile,RestrictiiTren_Id
"20150602","6","20151129","Da","799",385
"20151202","7","20151212","Da","799",385
"20141214","1","20151212","Da","16767",386
"20141214","1","20151212","Da","16767",387
"20141214","1","20151212","Da","351",388
"20141214","1","20151212","Da","16767",389
"20141214","1","20151212","Da","895",390
"20141214","1","20151212","Da","16767",391
"20141214","1","20151212","Da","16767",392
"20141214","1","20151212","Da","16767",393
"20141214","1","20151212","Da","16767",394
"20141214","1","20151212","Da","16767",395
"20141214","1","20151212","Da","895",396
"20141214","1","20151212","Da","895",397
"20150614","1","20150913","Da","383",398
"20141214","1","20151212","Da","16767",399
"20141214","1","20151212","Da","16767",400
"20141214","1","20151212","Da","16767",401
"20141214","1","20151212","Da","16767",402
"20141214","1","20151212","Da","351",403
